iter	Passed	Remaining
403	11256	16606
404	11277	16568
405	11300	16533
406	11323	16497
407	11349	16468
408	11377	16440
409	11401	16406
410	11424	16372
411	11452	16345
412	11477	16312
413	11504	16283
414	11532	16256
415	11559	16227
416	11585	16197
417	11608	16163
418	11636	16135
419	11661	16104
420	11684	16069
421	11710	16039
422	11734	16006
423	11761	15977
424	11787	15948
425	11813	15917
426	11837	15885
427	11862	15853
428	11890	15826
429	11915	15794
430	11937	15759
431	11967	15735
432	11990	15700
433	12012	15665
434	12032	15628
435	12052	15591
436	12076	15559
437	12099	15524
438	12122	15491
439	12147	15460
440	12172	15430
441	12195	15395
442	12219	15364
443	12242	15331
444	12304	15345
445	12340	15328
446	12367	15300
447	12396	15273
448	12419	15240
449	12442	15207
450	12464	15172
451	12485	15136
452	12508	15104
453	12532	15071
454	12553	15036
455	12576	15004
456	12601	14972
457	12621	14936
458	12642	14901
459	12671	14874
460	12695	14843
461	12716	14808
462	12735	14771
463	12757	14737
464	12781	14706
465	12808	14677
466	12833	14646
467	12855	14613
468	12879	14581
469	12905	14553
470	12929	14521
471	12950	14487
472	12975	14456
473	13001	14428
474	13025	14397
475	13047	14363
476	13068	14328
477	13089	14294
478	13115	14265
479	13139	14234
480	13163	14203
481	13185	14170
482	13206	14136
483	13233	14108
484	13253	14073
485	13280	14045
486	13306	14016
487	13332	13988
488	13356	13957
489	13376	13922
490	13398	13889
491	13427	13864
492	13451	13833
493	13481	13809
494	13502	13775
495	13526	13744
496	13553	13716
497	13575	13684
498	13597	13651
499	13623	13623
500	13649	13594
501	13675	13566
502	13697	13534
503	13719	13502
504	13748	13476
505	13771	13444
506	13794	13413
507	13815	13380
508	13843	13353
509	13869	13325
510	13890	13292
511	13910	13258
512	13932	13226
513	13952	13192
514	13974	13160
515	13996	13128
516	14016	13094
517	14044	13068
518	14068	13038
519	14094	13010
520	14124	12985
521	14147	12955
522	14170	12924
523	14195	12894
524	14217	12863
525	14241	12833
526	14263	12802
527	14285	12770
528	14310	12741
529	14336	12713
530	14396	12715
531	14432	12695
532	14456	12666
533	14478	12635
534	14502	12605
535	14528	12577
536	14559	12553
537	14582	12522
538	14606	12492
539	14629	12462
540	14651	12430
541	14676	12402
542	14702	12374
543	14724	12342
544	14754	12318
545	14788	12296
546	14814	12268
547	14837	12238
548	14859	12206
549	14886	12179
550	14908	12148
551	14931	12118
552	14955	12088
553	14980	12059
554	15004	12030
555	15025	11999
556	15047	11967
557	15073	11939
558	15093	11907
559	15116	11877
560	15141	11849
561	15165	11819
562	15191	11791
563	15212	11760
564	15232	11727
565	15253	11696
566	15274	11664
567	15296	11633
568	15319	11604
569	15342	11574
570	15368	11546
571	15395	11519
572	15422	11492
573	15447	11464
574	15470	11434
575	15491	11403
576	15511	11371
577	15534	11341
578	15555	11310
579	15577	11280
580	15602	11252
581	15624	11221
582	15647	11192
583	15672	11163
584	15692	11132
585	15717	11104
586	15741	11075
587	15764	11045
588	15788	11016
589	15814	10989
590	15836	10959
591	15855	10927
592	15877	10897
593	15902	10869
594	15924	10839
595	15948	10810
596	15970	10780
597	15999	10755
598	16023	10726
599	16043	10695
600	16063	10664
601	16085	10634
602	16109	10606
603	16133	10577
604	16157	10549
605	16180	10520
606	16203	10490
607	16233	10466
608	16258	10438
609	16286	10412
610	16306	10381
611	16328	10352
612	16351	10323
613	16372	10292
614	16396	10264
615	16421	10236
616	16476	10227
617	16512	10206
618	16539	10180
619	16563	10151
620	16585	10122
621	16611	10095
622	16634	10066
623	16658	10038
624	16682	10009
625	16703	9979
626	16727	9951
627	16748	9921
628	16768	9890
629	16790	9860
630	16809	9830
631	16831	9800
632	16858	9774
633	16882	9746
634	16903	9716
635	16925	9686
636	16946	9657
637	16967	9627
638	16992	9599
639	17011	9569
